Epoch 001 | beta=0.010 | train loss 0.17220 (recon 0.10658, kl 6.56233) | val loss 0.14484 (recon 0.07342, kl 7.14215)
Epoch 002 | beta=0.010 | train loss 0.14912 (recon 0.07681, kl 7.23026) | val loss 0.13872 (recon 0.06461, kl 7.41119)
Epoch 003 | beta=0.010 | train loss 0.14500 (recon 0.07104, kl 7.39539) | val loss 0.13643 (recon 0.06225, kl 7.41792)
Epoch 004 | beta=0.010 | train loss 0.14282 (recon 0.06786, kl 7.49553) | val loss 0.13461 (recon 0.06108, kl 7.35309)
Epoch 005 | beta=0.010 | train loss 0.14143 (recon 0.06579, kl 7.56385) | val loss 0.13472 (recon 0.05854, kl 7.61842)
Epoch 006 | beta=0.010 | train loss 0.14043 (recon 0.06429, kl 7.61411) | val loss 0.13344 (recon 0.05632, kl 7.71234)
Epoch 007 | beta=0.010 | train loss 0.13968 (recon 0.06318, kl 7.64981) | val loss 0.13232 (recon 0.05565, kl 7.66695)
Epoch 008 | beta=0.010 | train loss 0.13906 (recon 0.06224, kl 7.68243) | val loss 0.13182 (recon 0.05500, kl 7.68183)
Epoch 009 | beta=0.010 | train loss 0.13859 (recon 0.06155, kl 7.70412) | val loss 0.13171 (recon 0.05450, kl 7.72110)
Epoch 010 | beta=0.010 | train loss 0.13818 (recon 0.06094, kl 7.72422) | val loss 0.13117 (recon 0.05347, kl 7.77027)
Epoch 011 | beta=0.010 | train loss 0.13785 (recon 0.06042, kl 7.74371) | val loss 0.13107 (recon 0.05484, kl 7.62309)
Epoch 012 | beta=0.010 | train loss 0.13758 (recon 0.06003, kl 7.75518) | val loss 0.13078 (recon 0.05263, kl 7.81530)
Epoch 013 | beta=0.010 | train loss 0.13736 (recon 0.05967, kl 7.76822) | val loss 0.13114 (recon 0.05172, kl 7.94154)
Epoch 014 | beta=0.010 | train loss 0.13709 (recon 0.05928, kl 7.78040) | val loss 0.13077 (recon 0.05359, kl 7.71778)
Epoch 015 | beta=0.010 | train loss 0.13687 (recon 0.05897, kl 7.79057) | val loss 0.13024 (recon 0.05293, kl 7.73091)
Epoch 016 | beta=0.010 | train loss 0.13673 (recon 0.05872, kl 7.80034) | val loss 0.12986 (recon 0.05248, kl 7.73828)
Epoch 017 | beta=0.010 | train loss 0.13654 (recon 0.05848, kl 7.80626) | val loss 0.13018 (recon 0.05111, kl 7.90719)
Epoch 018 | beta=0.010 | train loss 0.13635 (recon 0.05824, kl 7.81104) | val loss 0.12987 (recon 0.05143, kl 7.84360)
Epoch 019 | beta=0.010 | train loss 0.13626 (recon 0.05806, kl 7.82032) | val loss 0.12983 (recon 0.05107, kl 7.87656)
Epoch 020 | beta=0.010 | train loss 0.13617 (recon 0.05791, kl 7.82615) | val loss 0.12969 (recon 0.05172, kl 7.79768)
Epoch 021 | beta=0.010 | train loss 0.13605 (recon 0.05769, kl 7.83645) | val loss 0.12938 (recon 0.05247, kl 7.69117)
Epoch 022 | beta=0.010 | train loss 0.13590 (recon 0.05748, kl 7.84170) | val loss 0.12998 (recon 0.05045, kl 7.95345)
Epoch 023 | beta=0.010 | train loss 0.13586 (recon 0.05740, kl 7.84592) | val loss 0.12912 (recon 0.05049, kl 7.86294)
Epoch 024 | beta=0.010 | train loss 0.13573 (recon 0.05720, kl 7.85318) | val loss 0.12951 (recon 0.05261, kl 7.69037)
Epoch 025 | beta=0.010 | train loss 0.13565 (recon 0.05714, kl 7.85087) | val loss 0.12889 (recon 0.05057, kl 7.83171)
Epoch 026 | beta=0.010 | train loss 0.13559 (recon 0.05704, kl 7.85547) | val loss 0.12935 (recon 0.05070, kl 7.86519)
Epoch 027 | beta=0.010 | train loss 0.13549 (recon 0.05684, kl 7.86513) | val loss 0.12914 (recon 0.04973, kl 7.94148)
Epoch 028 | beta=0.010 | train loss 0.13541 (recon 0.05672, kl 7.86816) | val loss 0.12927 (recon 0.05294, kl 7.63306)
Epoch 029 | beta=0.010 | train loss 0.13530 (recon 0.05665, kl 7.86460) | val loss 0.12914 (recon 0.04902, kl 8.01127)
Epoch 030 | beta=0.010 | train loss 0.13527 (recon 0.05652, kl 7.87455) | val loss 0.12849 (recon 0.04980, kl 7.86841)
Epoch 031 | beta=0.010 | train loss 0.13519 (recon 0.05639, kl 7.88070) | val loss 0.12882 (recon 0.05031, kl 7.85128)
Epoch 032 | beta=0.010 | train loss 0.13509 (recon 0.05623, kl 7.88665) | val loss 0.12860 (recon 0.04938, kl 7.92265)
Epoch 033 | beta=0.010 | train loss 0.13501 (recon 0.05614, kl 7.88669) | val loss 0.12836 (recon 0.04911, kl 7.92583)
Epoch 034 | beta=0.010 | train loss 0.13493 (recon 0.05601, kl 7.89127) | val loss 0.12832 (recon 0.04877, kl 7.95516)
Epoch 035 | beta=0.010 | train loss 0.13493 (recon 0.05591, kl 7.90161) | val loss 0.12822 (recon 0.04979, kl 7.84370)
Epoch 036 | beta=0.010 | train loss 0.13485 (recon 0.05582, kl 7.90287) | val loss 0.12861 (recon 0.04817, kl 8.04422)
Epoch 037 | beta=0.010 | train loss 0.13478 (recon 0.05577, kl 7.90119) | val loss 0.12840 (recon 0.04696, kl 8.14367)
Epoch 038 | beta=0.010 | train loss 0.13469 (recon 0.05570, kl 7.89931) | val loss 0.12843 (recon 0.04890, kl 7.95234)
Epoch 039 | beta=0.010 | train loss 0.13469 (recon 0.05566, kl 7.90289) | val loss 0.12820 (recon 0.04979, kl 7.84107)
Epoch 040 | beta=0.010 | train loss 0.13463 (recon 0.05558, kl 7.90486) | val loss 0.12863 (recon 0.04948, kl 7.91511)
Epoch 041 | beta=0.010 | train loss 0.13458 (recon 0.05549, kl 7.90922) | val loss 0.12794 (recon 0.04788, kl 8.00663)
Epoch 042 | beta=0.010 | train loss 0.13455 (recon 0.05547, kl 7.90840) | val loss 0.12831 (recon 0.04932, kl 7.89833)
Epoch 043 | beta=0.010 | train loss 0.13452 (recon 0.05540, kl 7.91182) | val loss 0.12811 (recon 0.04946, kl 7.86511)
Epoch 044 | beta=0.010 | train loss 0.13444 (recon 0.05531, kl 7.91371) | val loss 0.12790 (recon 0.04997, kl 7.79283)
Epoch 045 | beta=0.010 | train loss 0.13438 (recon 0.05522, kl 7.91585) | val loss 0.12810 (recon 0.04933, kl 7.87734)
Epoch 046 | beta=0.010 | train loss 0.13440 (recon 0.05521, kl 7.91891) | val loss 0.12810 (recon 0.04915, kl 7.89424)
Epoch 047 | beta=0.010 | train loss 0.13436 (recon 0.05513, kl 7.92244) | val loss 0.12773 (recon 0.04795, kl 7.97853)
Epoch 048 | beta=0.010 | train loss 0.13434 (recon 0.05510, kl 7.92420) | val loss 0.12780 (recon 0.04885, kl 7.89500)
Epoch 049 | beta=0.010 | train loss 0.13428 (recon 0.05507, kl 7.92157) | val loss 0.12788 (recon 0.04837, kl 7.95166)
Epoch 050 | beta=0.010 | train loss 0.13426 (recon 0.05497, kl 7.92870) | val loss 0.12777 (recon 0.04768, kl 8.00873)
