Epoch 001 | beta=0.000 | train loss 0.04168 (recon 0.04168, kl 109.54501) | val loss 0.00814 (recon 0.00814, kl 117.14016)
Epoch 002 | beta=0.000 | train loss 0.01445 (recon 0.01445, kl 121.22461) | val loss 0.00552 (recon 0.00552, kl 126.59493)
Epoch 003 | beta=0.000 | train loss 0.01162 (recon 0.01162, kl 132.04235) | val loss 0.00430 (recon 0.00430, kl 137.78949)
Epoch 004 | beta=0.000 | train loss 0.01044 (recon 0.01044, kl 143.44361) | val loss 0.00406 (recon 0.00406, kl 150.96085)
Epoch 005 | beta=0.000 | train loss 0.00975 (recon 0.00975, kl 156.06110) | val loss 0.00353 (recon 0.00353, kl 159.73549)
Epoch 006 | beta=0.000 | train loss 0.00932 (recon 0.00932, kl 165.22283) | val loss 0.00330 (recon 0.00330, kl 167.33991)
Epoch 007 | beta=0.000 | train loss 0.00900 (recon 0.00900, kl 172.19415) | val loss 0.00347 (recon 0.00347, kl 173.45709)
Epoch 008 | beta=0.000 | train loss 0.00875 (recon 0.00875, kl 178.75880) | val loss 0.00310 (recon 0.00310, kl 179.19944)
Epoch 009 | beta=0.000 | train loss 0.00856 (recon 0.00856, kl 184.10356) | val loss 0.00297 (recon 0.00297, kl 183.09851)
Epoch 010 | beta=0.000 | train loss 0.00841 (recon 0.00841, kl 188.43346) | val loss 0.00304 (recon 0.00304, kl 186.23750)
Epoch 011 | beta=0.000 | train loss 0.00827 (recon 0.00827, kl 191.74523) | val loss 0.00365 (recon 0.00365, kl 188.32947)
Epoch 012 | beta=0.000 | train loss 0.00814 (recon 0.00814, kl 194.17126) | val loss 0.00292 (recon 0.00292, kl 194.73046)
Epoch 013 | beta=0.000 | train loss 0.00804 (recon 0.00804, kl 196.71389) | val loss 0.00295 (recon 0.00295, kl 191.96684)
Epoch 014 | beta=0.000 | train loss 0.00795 (recon 0.00795, kl 196.62751) | val loss 0.00322 (recon 0.00322, kl 193.46253)
Epoch 015 | beta=0.000 | train loss 0.00787 (recon 0.00787, kl 198.46544) | val loss 0.00343 (recon 0.00343, kl 196.67619)
Epoch 016 | beta=0.000 | train loss 0.00779 (recon 0.00779, kl 200.47746) | val loss 0.00299 (recon 0.00299, kl 195.78026)
Epoch 017 | beta=0.000 | train loss 0.00772 (recon 0.00772, kl 200.41435) | val loss 0.00318 (recon 0.00318, kl 196.62152)
Epoch 018 | beta=0.000 | train loss 0.00766 (recon 0.00766, kl 200.82474) | val loss 0.00316 (recon 0.00316, kl 197.76014)
Epoch 019 | beta=0.000 | train loss 0.00759 (recon 0.00759, kl 202.62051) | val loss 0.00313 (recon 0.00313, kl 198.43368)
Epoch 020 | beta=0.000 | train loss 0.00755 (recon 0.00755, kl 204.59414) | val loss 0.00329 (recon 0.00329, kl 198.06946)
Epoch 021 | beta=0.000 | train loss 0.00749 (recon 0.00749, kl 205.57404) | val loss 0.00348 (recon 0.00348, kl 202.40929)
Epoch 022 | beta=0.000 | train loss 0.00743 (recon 0.00743, kl 207.32809) | val loss 0.00304 (recon 0.00304, kl 202.59043)
Epoch 023 | beta=0.000 | train loss 0.00739 (recon 0.00739, kl 208.38248) | val loss 0.00360 (recon 0.00360, kl 202.20190)
Epoch 024 | beta=0.000 | train loss 0.00734 (recon 0.00734, kl 208.68940) | val loss 0.00331 (recon 0.00331, kl 205.32541)
Epoch 025 | beta=0.000 | train loss 0.00729 (recon 0.00729, kl 210.29288) | val loss 0.00309 (recon 0.00309, kl 205.51200)
Epoch 026 | beta=0.000 | train loss 0.00725 (recon 0.00725, kl 212.10115) | val loss 0.00366 (recon 0.00366, kl 207.01767)
Epoch 027 | beta=0.000 | train loss 0.00721 (recon 0.00721, kl 213.53535) | val loss 0.00410 (recon 0.00410, kl 206.76648)
Epoch 028 | beta=0.000 | train loss 0.00717 (recon 0.00717, kl 215.34285) | val loss 0.00407 (recon 0.00407, kl 208.81624)
Epoch 029 | beta=0.000 | train loss 0.00713 (recon 0.00713, kl 217.74708) | val loss 0.00373 (recon 0.00373, kl 214.69270)
Epoch 030 | beta=0.000 | train loss 0.00709 (recon 0.00709, kl 219.86841) | val loss 0.00422 (recon 0.00422, kl 212.61139)
Epoch 031 | beta=0.000 | train loss 0.00717 (recon 0.00717, kl 226.71223) | val loss 0.00367 (recon 0.00367, kl 228.34619)
Epoch 032 | beta=0.000 | train loss 0.00705 (recon 0.00705, kl 230.58746) | val loss 0.00373 (recon 0.00373, kl 222.60572)
Epoch 033 | beta=0.000 | train loss 0.00701 (recon 0.00701, kl 228.03299) | val loss 0.00370 (recon 0.00370, kl 220.99513)
Epoch 034 | beta=0.000 | train loss 0.00699 (recon 0.00699, kl 227.65794) | val loss 0.00402 (recon 0.00402, kl 221.69398)
Epoch 035 | beta=0.000 | train loss 0.00697 (recon 0.00697, kl 227.10584) | val loss 0.00422 (recon 0.00422, kl 220.34663)
Epoch 036 | beta=0.000 | train loss 0.00693 (recon 0.00693, kl 227.84675) | val loss 0.00447 (recon 0.00447, kl 221.52403)
Epoch 037 | beta=0.000 | train loss 0.00692 (recon 0.00692, kl 227.57968) | val loss 0.00420 (recon 0.00420, kl 221.56046)
Epoch 038 | beta=0.000 | train loss 0.00689 (recon 0.00689, kl 228.92513) | val loss 0.00377 (recon 0.00377, kl 224.65345)
Epoch 039 | beta=0.000 | train loss 0.00688 (recon 0.00688, kl 229.72926) | val loss 0.00411 (recon 0.00411, kl 223.21040)
Epoch 040 | beta=0.000 | train loss 0.00685 (recon 0.00685, kl 229.92869) | val loss 0.00388 (recon 0.00388, kl 222.99270)
Epoch 041 | beta=0.000 | train loss 0.00684 (recon 0.00684, kl 230.46286) | val loss 0.00385 (recon 0.00385, kl 223.18059)
Epoch 042 | beta=0.000 | train loss 0.00681 (recon 0.00681, kl 229.84761) | val loss 0.00470 (recon 0.00470, kl 224.77398)
Epoch 043 | beta=0.000 | train loss 0.00680 (recon 0.00680, kl 230.40561) | val loss 0.00464 (recon 0.00464, kl 226.13074)
Epoch 044 | beta=0.000 | train loss 0.00678 (recon 0.00678, kl 229.98284) | val loss 0.00424 (recon 0.00424, kl 223.58058)
Epoch 045 | beta=0.000 | train loss 0.00676 (recon 0.00676, kl 230.68531) | val loss 0.00398 (recon 0.00398, kl 223.62391)
Epoch 046 | beta=0.000 | train loss 0.00674 (recon 0.00674, kl 231.33164) | val loss 0.00403 (recon 0.00403, kl 224.87196)
Epoch 047 | beta=0.000 | train loss 0.00672 (recon 0.00672, kl 232.28962) | val loss 0.00422 (recon 0.00422, kl 227.28648)
Epoch 048 | beta=0.000 | train loss 0.00670 (recon 0.00670, kl 231.19083) | val loss 0.00409 (recon 0.00409, kl 225.65821)
Epoch 049 | beta=0.000 | train loss 0.00668 (recon 0.00668, kl 232.12295) | val loss 0.00406 (recon 0.00406, kl 226.19710)
Epoch 050 | beta=0.000 | train loss 0.00667 (recon 0.00667, kl 233.18268) | val loss 0.00372 (recon 0.00372, kl 237.89021)
